N     X           Y            Z
272   -0.505521    1.145022    0.837672
273   -0.932510    -0.009624    -0.024011
274   0.264378    -0.148741    0.879554
275   0.264374    0.714910    0.533519
276   -2.867535    -2.071274    1.003740
277   -1.562707    1.457183    3.636940
278   -2.867550    2.191301    -0.704118
279   2.693988    -1.512019    1.502383
280   1.578771    -0.884584    -2.207814
281   2.693976    2.131100    0.042719
282   -0.418293    -3.405927    0.041840
283   1.387308    1.476698    3.685621
284   -0.418313    2.492560    -2.321468
285   -2.341417    -0.931981    -2.326073
286   -0.533902    -1.948909    3.687325
287   -0.533922    3.955773    1.321536
288   -3.358734    -1.446433    0.402533
289   -3.358744    1.324196    -0.707557
290   -2.051512    0.588735    3.641449
291   -2.899637    -1.704725    1.929897
292   -2.899652    2.565654    0.218911
293   -2.051517    2.088486    3.040555
294   -3.150863    -0.092546    2.496602
295   -3.727381    0.231808    0.578594
296   -3.150870    1.790786    1.742020
297   -3.463937    0.076880    1.546282
298   -3.177669    0.850992    2.123983
299   -3.463940    1.012050    1.171594
300   0.127747    0.506840    -3.110525
301   0.127758    -2.514387    -1.900031
302   2.088697    -0.596413    3.413329
303   1.163862    -3.097311    1.546971
304   2.088687    2.788270    2.057210
305   1.163841    3.308600    -1.019643
306   3.017868    -0.756391    -0.542944
307   3.017865    0.172257    -0.915019
308   3.302139    0.012320    0.030727
309   3.252733    0.619976    1.547349
310   2.216831    1.202788    -1.898978
311   2.216842    -2.181236    -0.543125
312   2.919595    1.381692    2.103736
313   1.423539    1.294864    -2.501448
314   2.919598    0.453163    2.475763
315   1.707774    2.063478    -1.927851
316   1.707790    -2.823754    0.030283
317   1.423553    -2.663839    -0.915342
318   -0.362311    -0.365915    -3.111390
319   1.598947    -1.469342    3.413493
320   1.134340    -2.725711    2.475896
321   -0.362307    -1.883681    -2.503278
322   1.598932    3.419813    1.454587
323   1.134319    3.681211    -0.091123
324   -0.871113    0.494916    -3.140946
325   0.341425    -3.208956    2.103680
326   -0.871104    -2.526773    -1.930267
327   1.266402    -0.707674    3.970324
328   1.266390    3.253342    2.383289
329   0.341402    3.773752    -0.694035
330   -1.291051    -3.232123    2.057411
331   -2.217212    1.254128    -2.612485
332   -0.077255    0.050167    4.506902
333   -2.217198    -2.711063    -1.023778
334   -0.077265    3.075650    3.294702
335   -1.291075    3.758551    -0.743498
336   -2.859105    0.679473    3.057915
337   -2.859108    1.619926    2.681111
338   -3.714160    -0.692269    0.955578
339   -3.426272    -0.854236    1.913346
340   -3.714166    1.160539    0.213226
341   -3.426282    1.939023    0.794189
342   -2.086406    -3.142285    1.454301
343   -2.551924    -2.880380    -0.094427
344   -0.586857    0.912726    4.480455
345   -0.586862    2.433454    3.871155
346   -2.551942    2.018302    -2.057150
